Rang.Sistem,Rang.Pakar,Preccsion,Recall,Rouge_Score
"bahwa untuk melakukan pemutusan hubungan kerja terhadap penggugat atas dasar pelanggaran kesalahan berat, maka haruslah terlebih dahulu dibuktikan dengan keputusan peradilan pidana atas perbuatan tindak pidana yang dilakukan yang bersangkutan sesuai putusan mahkamah konstitusi nomor 012/puu/i/2003 juncto surat edaran menteri tenaga kerja nomor se-13/men/sj-hk/i/2005, ternyata mengenai hal itu tidak dapat dibuktikan oleh tergugat sehingga pemutusan hubungan kerja yang dilakukan oleh tergugat terhadap penggugat adalah tidak sah secara hukum maka sesuai ketentuan pasal 155 ayat (2) undang undang nomor 13 tahun. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt meskom agro sari, tersebut harus ditolak dengan perbaikan amar nomor 5 ditambah kalimat “jabatan yang setara”, amar nomor","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri pekanbaru tidak salah menerapkan hukum namun demikian amar putusan judex facti harus diperbaiki. hal ini dikarenakan pemutusan hubungan kerja yang dilakukan oleh tergugat terhadap penggugat adalah tidak sah secara hukum maka sesuai ketentuan pasal 155 ayat (2) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, tergugat mempunyai kewajiban hukum untuk membayarkan upah penggugat dan hak-hak lainnya yang sudah dihentikan tergugat sejak dikeluarkannya putusan pemutusan hubungan kerja sebagaimana surat 770/int/mas/sk-phk/hr/x/2018 tanggal 31 oktober 2018. selain itu dilakukan perbaikan amar nomor 5 ditambah kalimat “jabatan yang setara”, amar nomor 6 ditambah upah proses 6 bulan dan menghilangkan amar nomor 7.",0.569,0.458,0.508
"2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat telah benar menerapkan hukum menyatakan pemutusan hubungan kerja berpedoman pada pasal 161 undang undang nomor nomor 13 tahun 2003 tentang ketenagakerjaaan melakukan pelanggaran, dengan pertimbangan sebagai berikut:. 1. bahwa termohon kasasi tidak dapat dikualifisir mengundurkan diri sekalipun termohon kasasi sering mangkir kerja dan telah dikenai surat peringatan-surat peringatan, dan terakhir kali mangkir dan dipanggil 2 (dua) kali secara tertulis;. 2. bahwa ternyata berdasarkan penilaian hasil pembuktian yang menjadi kewenangan judex facti tidak diperoleh fakta hukum berdasarkan alat- alat bukti termohon kasasi telah mangkir 5 (lima) hari kerja berturut-turut atau lebih, dipanggil secara tertulis dan patut sebagaimana ditentukan secara jelas dan tegas pada pasal 168 undang undang nomor 13. ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt senjaya tunggal sakti tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat telah benar menerapkan hukum menyatakan pemutusan hubungan kerja berpedoman pada pasal 161 undang undang nomor nomor 13 tahun 2003 tentang ketenagakerjaaan melakukan pelanggaran. hal ini dikarenakan termohon kasasi tidak dapat dikualifisir mengundurkan diri sekalipun termohon kasasi sering mangkir kerja dan telah dikenai surat peringatan-surat peringatan, dan terakhir kali mangkir dan dipanggil 2 (dua) kali secara tertulis. selain itu berdasarkan penilaian hasil pembuktian yang menjadi kewenangan judex facti tidak diperoleh fakta hukum berdasarkan alat-alat bukti termohon kasasi telah mangkir 5 (lima) hari kerja berturut-turut atau lebih, dipanggil secara tertulis dan patut sebagaimana ditentukan secara jelas dan tegas pada pasal 168 undang undang nomor 13 tahun 2003 tentang ketenagakerjaaan beserta penjelasannya.",0.911,0.551,0.687
"bahwa selain itu, alasan-alasan kasasi pemohon kasasi tersebut mengenai penilaian hasil pembuktian yang bersifat penghargaan tentang suatu kenyataan, halmana tidak dapat dipertimbangkan dalam pemeriksaan pada tingkat kasasi karena pemeriksaan dalam tingkat kasasi hanya berkenaan dengan adanya kesalahan penerapan hukum, adanya pelanggaran hukum yang berlaku, adanya kelalaian dalam memenuhi syarat-syarat yang diwajibkan oleh peraturan perundang- undangan yang mengancam kelalaian itu dengan batalnya putusan yang bersangkutan atau bila pengadilan tidak berwenang atau melampaui batas wewenangnya, sebagaimana yang dimaksud pasal 30 undang undang nomor 14 tahun 1985 tentang mahkamah agung sebagaimana diubah dengan undang undang nomor 5 tahun 2004 dan perubahan kedua dengan undang undang nomor 3 tahun 2009;","mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya. karena sesuai undang – undang nomor 13 tahun 2003 tentang ketenagakerjaan dan undang-undang  nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial tidak ditemukan kesalahan penerapan hukum, tidak adanya pelanggaran hukum",0.452,0.259,0.329
"bahwa perselisihan pemutusan hubungan kerja antara pemohon kasasi dengan termohon kasasi terkait dengan pemutusan hubungan kerja alasan efisiensi berdasarkan surat pemutusan hubungan nomor 225/pt si/corp/xii/2019 tanggal 20 desember 2019 (vide bukti p-5), bukan terkait alasan-alasan pemutusan hubungan kerja yang dilarang dan wajib mempekerjakan kembali sebagaimana ditentukan pasal 153 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan;. 2. bahwa pemutusan hubungan kerja dilakukan oleh pemohon kasasi akibat dari kinerja perusahaan yang memburuk dikuatkan dengan bukti total produksi dan penjualan yang menurun sejak tahun 2017 sampai dengan 2020 (vide bukti t-13,14), namun tidak dikuatkan dengan bukti berupa laporan kerugian perusahaan selama 2 (dua) tahun berturut-turut oleh akuntan publik sebagaimana dimaksud pasal 164 ayat (2) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri medan telah salah menerapkan hukum menyatakan pemutusan hubungan hukum batal dan mempekerjakan kembali. hal ini dikarenakan : perselisihan pemutusan hubungan kerja antara pemohon kasasi dengan termohon kasasi terkait dengan pemutusan hubungan kerja alasan efisiensi berdasarkan surat pemutusan hubungan nomor 225/pt si/corp/xii/2019 tanggal 20 desember 2019 (vide bukti p-5), bukan terkait alasan-alasan pemutusan hubungan kerja yang dilarang dan wajib mempekerjakan kembali sebagaimana ditentukan pasal 153 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan. hubungan kerja dilakukan oleh pemohon kasasi akibat dari kinerja perusahaan yang memburuk dikuatkan dengan bukti total produksi dan penjualan yang menurun sejak tahun 2017 sampai dengan 2020 (vide bukti t-13,14), namun tidak dikuatkan dengan bukti berupa laporan kerugian perusahaan selama 2 (dua) tahun berturut-turut oleh akuntan publik sebagaimana dimaksud pasal 164 ayat (2) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan. perselisihan pemutusan hubungan kerja demikian tepat dan beralasan menerapkan ketentuan pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, efisiensi, dengan hak kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja, uang penggantian hak dan selama proses perselisihan berlangsung di lembaga pphi berhak atas upah proses selama 6 (enam) bulan sesuai surat edaran mahkamah agung nomor 3 tahun 2016. termohon kasasi/penggugat dengan masa kerja kurang dari 7 (tujuh) tahun, upah/bulan rp3.940.972,00 (tiga juta sembilan ratus empat puluh ribu sembilan ratus empat puluh ribu sembilan ratus tujuh puluh dua rupiah). agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.",0.459,0.992,0.627
"bahwa perselisihan pemutusan hubungan kerja antara pemohon kasasi dengan termohon kasasi terkait dengan pemutusan hubungan kerja alasan efisiensi berdasarkan surat pemutusan hubungan nomor 225/pt si/corp/xii/2019 tanggal 20 desember 2019 (vide bukti p-5), bukan terkait alasan-alasan pemutusan hubungan kerja yang dilarang dan wajib mempekerjakan kembali sebagaimana ditentukan pasal 153 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan;. 2. bahwa pemutusan hubungan kerja dilakukan oleh pemohon kasasi akibat dari kinerja perusahaan yang memburuk dikuatkan dengan bukti total produksi dan penjualan yang menurun sejak tahun 2017 sampai dengan 2020 (vide bukti t-13,14), namun tidak dikuatkan dengan bukti berupa laporan kerugian perusahaan selama 2 (dua) tahun berturut-turut oleh akuntan publik sebagaimana dimaksud pasal 164 ayat (2) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri medan telah salah menerapkan hukum menyatakan pemutusan hubungan hukum batal dan mempekerjakan kembali. hal ini dikarenakan : perselisihan pemutusan hubungan kerja antara pemohon kasasi dengan termohon kasasi terkait dengan pemutusan hubungan kerja alasan efisiensi berdasarkan surat pemutusan hubungan nomor 225/pt si/corp/xii/2019 tanggal 20 desember 2019 (vide bukti p-5), bukan terkait alasan-alasan pemutusan hubungan kerja yang dilarang dan wajib mempekerjakan kembali sebagaimana ditentukan pasal 153 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan. hubungan kerja dilakukan oleh pemohon kasasi akibat dari kinerja perusahaan yang memburuk dikuatkan dengan bukti total produksi dan penjualan yang menurun sejak tahun 2017 sampai dengan 2020 (vide bukti t-13,14), namun tidak dikuatkan dengan bukti berupa laporan kerugian perusahaan selama 2 (dua) tahun berturut-turut oleh akuntan publik sebagaimana dimaksud pasal 164 ayat (2) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan. perselisihan pemutusan hubungan kerja demikian tepat dan beralasan menerapkan ketentuan pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, efisiensi, dengan hak kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja, uang penggantian hak dan selama proses perselisihan berlangsung di lembaga pphi berhak atas upah proses selama 6 (enam) bulan sesuai surat edaran mahkamah agung nomor 3 tahun 2016. termohon kasasi/penggugat dengan masa kerja kurang dari 7 (tujuh) tahun, upah/bulan rp3.940.972,00 (tiga juta sembilan ratus empat puluh ribu sembilan ratus empat puluh ribu sembilan ratus tujuh puluh dua rupiah). agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.",0.459,0.992,0.627
"bahwa pemanggilan tergugat/pemohon kasasi kepada penggugat/ termohon kasasi dilakukan setelah perselisihan antara penggugat dengn tergugat terjadi dan pada tahap mediasi dengan pencatatan perselisihan pada tanggal 4 oktober 2019, sedangkan pemanggilan tertulis tanggal 14 dan 18 oktober 2019 dikuatkan dengan alat bukti yang telah benar dipertimbangkan judex facti sehingga surat panggilan tidak dapat dipertimbangkan dan alasan pengunduran diri tidak beralasan hukum karena tidak memenuhi isi ketentaun pasal 168 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan dan penjelasannya, serta adil berhak atas upah proses 3 (tiga) bulan lebih kecil dari 6 (enam) bulan upah sesuai sema nomor 03 tahun 2015 karena penggugat selama proses perselisihan berlangsung tidak melaksanakan kewajibannya meskipun telah dipanggil;. berkenaan dengan adanya kesalahan penerapan hukum, adanya pelanggaran hukum yang berlaku, adanya kelalaian dalam memenuhi syarat-syarat yang diwajibkan oleh peraturan perundang-undangan yang mengancam kelalaian itu dengan batalnya putusan yang bersangkutan atau bila pengadilan tidak berwenang atau melampaui batas wewenangnya, sebagaimana yang dimaksud pasal 30 undang undang nomor 14 tahun 1985 tentang mahkamah agung sebagaimana diubah dengan undang undang nomor 5 tahun 2004 dan perubahan kedua dengan undang undang nomor 3 tahun 2009;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dengan 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak serta adil upah proses 3 (tiga) bulan. hal ini dikarenakan: pemohon kasasi/tergugat memutus hubungan kerja termohon kasasi tanpa ada kesalahan dan atau telah dikenai surat peringatan, sebagaimana dimaksud pasal 161 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan; pemanggilan tergugat/pemohon kasasi kepada penggugat/ termohon kasasi dilakukan setelah perselisihan antara penggugat dengn tergugat terjadi dan pada tahap mediasi dengan pencatatan perselisihan pada tanggal 4 oktober 2019, sedangkan pemanggilan tertulis tanggal 14 dan 18 oktober 2019 dikuatkan dengan alat bukti yang telah benar dipertimbangkan judex facti sehingga surat panggilan tidak dapat dipertimbangkan dan alasan pengunduran diri tidak beralasan hukum karena tidak memenuhi isi ketentaun pasal 168 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan dan penjelasannya, serta adil berhak atas upah proses 3 (tiga) bulan lebih kecil dari 6 (enam) bulan upah sesuai sema nomor 03 tahun 2015 karena penggugat selama proses perselisihan berlangsung tidak melaksanakan kewajibannya meskipun telah dipanggil. alasan-alasan kasasi pemohon kasasi tidak dapat dibenarkan karena merupakan penilaian terhadap fakta dan hasil pembuktian di persidangan yang bersifat penghargaan tentang suatu kenyataan,",0.630,0.704,0.665
"10 september 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya, judex facti telah mempertimbangkan bukti-bukti kedua belah pihak dan ketentuan hukum yang berlaku dalam memutus perkara ini, dengan pertimbangan sebagai berikut:. 2), maka atas pemutusan hubungan kerja tersebut penggugat berhak memperoleh uang kompensasi pemutusan hubungan kerja sesuai ketentuan pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan yaitu uang pesangon sebesar 2 x ketentuan pasal 156 ayat (2), uang penghargaan masa kerja sebesar 1 x ketentuan pasal 156 ayat (3) dan uang penggantian hak sesuai ketentuan pasal. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt prima kwarta niaga tersebut harus ditolak;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.,0.742,0.153,0.254
"10 september 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya, judex facti telah mempertimbangkan bukti-bukti kedua belah pihak dan ketentuan hukum yang berlaku dalam memutus perkara ini, dengan pertimbangan sebagai berikut:. 2), maka atas pemutusan hubungan kerja tersebut penggugat berhak memperoleh uang kompensasi pemutusan hubungan kerja sesuai ketentuan pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan yaitu uang pesangon sebesar 2 x ketentuan pasal 156 ayat (2), uang penghargaan masa kerja sebesar 1 x ketentuan pasal 156 ayat (3) dan uang penggantian hak sesuai ketentuan pasal. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt prima kwarta niaga tersebut harus ditolak;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.,0.742,0.153,0.254
"bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 28 juni 2019 dan kontra memori kasasi tanggal 8 agustus 2019 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. - bahwa pertimbangan hukum putusan judex facti yang mengabulkan gugatan penggugat dapat dibenarkan, karena berdasarkan fakta-fakta dalam perkara a quo judex facti telah memberikan pertimbangan yang cukup, dimana pemutusan hubungan kerja (phk) antara penggugat dengan tergugat terhitung semenjak tergugat melarang penggugat masuk bekerja terhadap penggugat karena penggugat telah mangkir atau. 2003 tentang ketenagakerjaan dan berdasarkan ketentuan pasal 61 ayat (1) undang-undang nomor 13 tahun 2003 ketenagakerjaan mewajibkan kepada tergugat untuk membayar hak-hak penggugat sebagaimana yang telah dipertimbangkan oleh judex facti;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt kerta angsana tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang-undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.,0.774,0.111,0.194
"memerintahkan kepada termohon kasasi (dahulu tergugat) untuk membayar hak-hak pemohon kasasi (dahulu penggugat) yang belum dibayar yang apabila dihitung hingga bulan april saat gugatan ini diajukan adalah berupa upah beserta dendanya sebesar rp1.110.093.000,00 (satu miliar seratus sepuluh juta sembilan puluh tiga ribu rupiah), tunjangan hari raya (thr) beserta dendanya sebesar rp16.008.300,00 (enam belas juta delapan ribu tiga ratus rupiah) dan mengganti iuran kepesertaan bpjs yang telah dibayar penggugat sebesar rp4.480.000,00 (empat juta, empat ratus delapan puluh ribu rupiah) serta tetap membayar hak-hak tersebut beserta dendanya setelah bulan april dan seterusnya hingga pemutusan hubungan kerja mempunyai kekuatan hukum yang bersifat tetap (inkracht van gewijsde);. memberikan surat teguran atau peringatan yang cukup kepada penggugat atas kesalahan atau kekeliruan penggugat dalam tugas dan tanggung jawab bidang pekerjaannya yang dapat merugikan semua pihak yaitu pekerja lainnya, (tentang iuran bpjs) maupun perusahaan (tergugat), berdasarkan keaadan tersebut sebagaimana pertimbangan judex facti dapat dibenarkan oleh karena untuk melanjutkan hubungan kerja sudah tidak mungkin untuk dilanjutkan karena sudah tidak adanya keharmonisan terlihat bagi pihak – pihak (penggugat dan tergugat) setelah adanya gugatan a quo, sehingga pemutusan hubungan kerja tersebut adil dan pantas untuk dinyatakan berlaku semenjak putusan judex facti dan perkara a quo di jatuhkan dengan memerintahkan kepada tergugat untuk memenuhi hak-hak penggugat sebagaimana yang telah tepat dan benar dipertimbangkan oleh judex facti dalam perkara a quo;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri jakarta pusat sudah tepat dan benar menerapkan hukumnya.,0.419,0.056,0.099
"bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 23 september 2019 dan kontra memori kasasi tanggal 5 november 2019 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri surabaya tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. bahwa pertimbangan hukum putusan judex facti yang menolak gugatan penggugat konvensi dan mengabulkan gugatan penggugat rekonvensi dapat dibenarkan, karena berdasarkan fakta-fakta dalam perkara a quo judex facti telah memberikan pertimbangan yang cukup, di mana ternyata berakhirnya hubungan kerja antara penggugat dan tergugat dalam perkara a quo tidak terbukti dikarenakan sebagai efisiensi akan tetapi dikarenakan penggugat mengundurkan diri sebagaimana dimaksud ketentuan pasal 154 jo. pasal. ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri surabaya dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi: gatot muliono tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah) sebagaimana ditentukan dalam pasal 58 undang-undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri surabaya sudah tepat dan benar menerapkan hukumnya.,0.767,0.119,0.205
"menimbang, bahwa permohonan kasasi a quo beserta alasan-alasannya telah diberitahukan kepada pihak lawan dengan saksama, diajukan dalam tenggang waktu dan dengan cara yang ditentukan dalam undang-undang, oleh karena itu permohonan kasasi tersebut secara formal dapat diterima;. apabila yang terhormat majelis hakim mahkamah agung ri yang sedang memeriksa dan mengadili perkara ini berpendapat lain dengan alasan- alasan/keberatan-keberatan pemohon kasasi di atas, dengan tidak mengurangi rasa hormat pemohon kasasi terhadap kewibawaan pengadilan, pemohon kasasi memohon kepada yang terhormat majelis hakim mahkamah agung ri agar berkenan kiranya memberikan alasan- alasan hukum (motivering splict) yang dijadikan dasar pertimbangan hukum serta memberikan putusan hukum yang seadil-adilnya dalam perkara ini;. bahwa terhadap memori kasasi tersebut, termohon kasasi telah mengajukan kontra memori kasasi tanggal 15 april 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. - bahwa pemutusan hubungan kerja (phk) terhadap penggugat/termohon kasasi dengan alasan karena penggugat terbukti telah melakukan kesalahan terhadap prosedur kerja yang mengakibatkan komplain dari pelanggan dan tergugat terbukti pula telah memberikan surat peringatan i (sp i), sp ii dan sp iii kepada penggugat sebelum mengakhiri hubungan kerjanya maka atas pemutusan hubungan kerja (phk) tersebut penggugat berhak memperoleh uang kompensasi pemutusan hubungan kerja (phk) sesuai ketentuan pasal 161 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan yaitu uang pesangon sebesar 1 x ketentuan pasal. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri medan dalam perkara ini tidak bertentangan dengan hukum dan/atau undang- undang, sehingga permohonan kasasi yang diajukan pemohon kasasi pt canang indah, tersebut harus ditolak;. tahun 1985 tentang mahkamah agung sebagaimana yang telah diubah dengan undang undang nomor 5 tahun 2004 dan perubahan kedua dengan undang undang nomor 3 tahun 2009 serta peraturan perundang-undangan lain yang bersangkutan;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri medan sudah tepat dan benar menerapkan hukumnya.,0.667,0.068,0.124
"menimbang, bahwa permohonan kasasi a quo beserta alasan-alasannya telah diberitahukan kepada pihak lawan dengan saksama, diajukan dalam tenggang waktu dan dengan cara yang ditentukan dalam undang-undang, oleh karena itu permohonan kasasi tersebut secara formal dapat diterima;. apabila yang terhormat majelis hakim mahkamah agung ri yang sedang memeriksa dan mengadili perkara ini berpendapat lain dengan alasan- alasan/keberatan-keberatan pemohon kasasi di atas, dengan tidak mengurangi rasa hormat pemohon kasasi terhadap kewibawaan pengadilan, pemohon kasasi memohon kepada yang terhormat majelis hakim mahkamah agung ri agar berkenan kiranya memberikan alasan- alasan hukum (motivering splict) yang dijadikan dasar pertimbangan hukum serta memberikan putusan hukum yang seadil-adilnya dalam perkara ini;. bahwa terhadap memori kasasi tersebut, termohon kasasi telah mengajukan kontra memori kasasi tanggal 15 april 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. - bahwa pemutusan hubungan kerja (phk) terhadap penggugat/termohon kasasi dengan alasan karena penggugat terbukti telah melakukan kesalahan terhadap prosedur kerja yang mengakibatkan komplain dari pelanggan dan tergugat terbukti pula telah memberikan surat peringatan i (sp i), sp ii dan sp iii kepada penggugat sebelum mengakhiri hubungan kerjanya maka atas pemutusan hubungan kerja (phk) tersebut penggugat berhak memperoleh uang kompensasi pemutusan hubungan kerja (phk) sesuai ketentuan pasal 161 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan yaitu uang pesangon sebesar 1 x ketentuan pasal. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri medan dalam perkara ini tidak bertentangan dengan hukum dan/atau undang- undang, sehingga permohonan kasasi yang diajukan pemohon kasasi pt canang indah, tersebut harus ditolak;. tahun 1985 tentang mahkamah agung sebagaimana yang telah diubah dengan undang undang nomor 5 tahun 2004 dan perubahan kedua dengan undang undang nomor 3 tahun 2009 serta peraturan perundang-undangan lain yang bersangkutan;",mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri medan sudah tepat dan benar menerapkan hukumnya.,0.667,0.068,0.124
