Rang.Sistem,Rang.Pakar,Preccsion,Recall,F-Measure
"6.1. upah bulan desember 2018 sebesar rp3.213.208,00 (tiga juta dua ratus tiga belas ribu dua ratus delapan rupiah);. rp3.299.332,00 = rp42.891.316,00 (empat puluh dua juta delapan ratus sembilan puluh satu ribu tiga ratus enam belas rupiah);. 6.3. upah proses selama 6 bulan = 6 x rp3.213.208,00 = rp19.279.248,00 (sembilan belas juta dua ratus tujuh puluh sembilan ribu dua ratus empat puluh delapan rupiah);. 6.4. jumlah seluruhnya adalah rp3.213.208,00 ditambah rp42.891.316,00 ditambah rp19.795.992,00 = rp65.383.772,00 (enam puluh lima juta tiga ratus delapan puluh tiga ribu tujuh ratus tujuh puluh dua rupiah);","menolak permohonan kasasi dari pemohon kasasi pt meskom agro sari tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 103/pdt.sus-phi/2019/pn pbr., tanggal 21 januari 2020",0.000,0.000,0.000
menolak permohonan kasasi dari pemohon kasasi pt senjaya tunggal sakti tersebut;,menolak permohonan kasasi dari pemohon kasasi pt senjaya tunggal sakti tersebut; membebankan biaya perkara kepada negara.,0.688,1.000,0.815
menolak permohonan kasasi dari pemohon kasasi pt maroco,menolak permohonan kasasi dari pemohon kasasi pt maroco tersebut; membebankan biaya perkara kepada negara;,0.571,1.000,0.727
"menghukum penggugat membayar uang kompensasi kepada tergugat sebesar rp100.691.832,00 (seratus juta enam ratus sembilan puluh satu ribu delapan ratus tiga puluh dua rupiah);",mengabulkan permohonan kasasi dari pemohon kasasi pt sioen indonesia tersebut; membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 109/pdt.sus-phi/2020/pn jkt.pst. tanggal 4 agustus 2020;,0.000,0.000,0.000
"menghukum penggugat membayar uang kompensasi kepada tergugat sebesar rp100.691.832,00 (seratus juta enam ratus sembilan puluh satu ribu delapan ratus tiga puluh dua rupiah);",mengabulkan permohonan kasasi dari pemohon kasasi pt sioen indonesia tersebut; membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 109/pdt.sus-phi/2020/pn jkt.pst. tanggal 4 agustus 2020;,0.000,0.000,0.000
"menolak permohonan kasasi dari pemohon kasasi pt handaru makmur sejahtera tersebut;. 2. menghukum pemohon kasasi untuk membayar biaya perkara dalam. tingkat kasasi ditetapkan sebesar rp500.000,00 (lima ratus ribu rupiah);","menolak permohonan kasasi dari pemohon kasasi pt handaru makmur sejahtera tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sebesar rp500.000,00 (lima ratus ribu rupiah)",1.000,0.968,0.984
menolak permohonan kasasi dari pemohon kasasi pt prima kwarta niaga tersebut;,menolak permohonan kasasi dari pemohon kasasi pt prima kwarta niaga tersebut; membebankan biaya perkara kepada negara;,0.688,1.000,0.815
menolak permohonan kasasi dari pemohon kasasi pt prima kwarta niaga tersebut;,menolak permohonan kasasi dari pemohon kasasi pt prima kwarta niaga tersebut; membebankan biaya perkara kepada negara;,0.688,1.000,0.815
menolak permohonan kasasi dari pemohon kasasi pt kerta angsana tersebut;,menolak permohonan kasasi dari pemohon kasasi pt kerta angsana tersebut; membebankan biaya perkara kepada negara,0.667,1.000,0.800
"menolak permohonan kasasi dari pemohon kasasi: maimun, s.h., s.pd.,. 2. membebankan biaya perkara dalam tingkat kasasi kepada pemohon. kasasi sejumlah rp500.000,00 (lima ratus ribu rupiah);","menolak permohonan kasasi dari pemohon kasasi: maimun, s.h., s.pd., tersebut; membebankan biaya perkara dalam tingkat kasasi kepada pemohon kasasi sejumlah rp500.000,00 (lima ratus ribu rupiah);",0.966,0.966,0.966
"menolak permohonan kasasi dari para pemohon kasasi: gatot muliono, tersebut;","permohonan kasasi dari para pemohon kasasi: gatot muliono, tersebut; membebankan biaya perkara kepada negara;",0.643,0.900,0.750
"menolak permohonan kasasi dari pemohon kasasi pt canang indah, tersebut;. 2. membebankan biaya perkara dalam tingkat kasasi ini kepada negara;","menolak permohonan kasasi dari pemohon kasasi pt canang indah, tersebut; membebankan biaya perkara dalam tingkat kasasi ini kepada negara",1.000,0.950,0.974
"menolak permohonan kasasi dari pemohon kasasi pt canang indah, tersebut;","menolak permohonan kasasi dari pemohon kasasi pt canang indah, tersebut; membebankan biaya perkara dalam tingkat kasasi ini kepada negara",0.526,1.000,0.690
menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut;,menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut; membebankan biaya perkara kepada negara;,0.688,1.000,0.815
"6.1. upah bulan desember 2018 sebesar rp3.213.208,00 (tiga juta dua ratus tiga belas ribu dua ratus delapan rupiah);. rp3.299.332,00 = rp42.891.316,00 (empat puluh dua juta delapan ratus sembilan puluh satu ribu tiga ratus enam belas rupiah);. 6.3. upah proses selama 6 bulan = 6 x rp3.213.208,00 = rp19.279.248,00 (sembilan belas juta dua ratus tujuh puluh sembilan ribu dua ratus empat puluh delapan rupiah);. 6.4. jumlah seluruhnya adalah rp3.213.208,00 ditambah rp42.891.316,00 ditambah rp19.795.992,00 = rp65.383.772,00 (enam puluh lima juta tiga ratus delapan puluh tiga ribu tujuh ratus tujuh puluh dua rupiah);","menolak permohonan kasasi dari pemohon kasasi pt meskom agro sari tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 103/pdt.sus-phi/2019/pn pbr., tanggal 21 januari 2020",0.000,0.000,0.000
menolak permohonan kasasi dari pemohon kasasi pt nusa halmahera mineral tersebut;,"menolak permohonan kasasi dari pemohon kasasi pt. nusa halmahera mineral tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat ditetapkan sebesar rp. 500.000,00 (lima ratus ribu rupiah).",0.367,1.000,0.537
menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut;,"menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sejumlah rp500.000,00 (lima ratus ribu rupiah);",0.367,1.000,0.537
menolak permohonan kasasi dari pemohon kasasi pt jumbo power internasional cabang semarang tersebut;,menolak permohonan kasasi dari pemohon kasasi pt jumbo power internasional cabang semarang tersebut; membebankan biaya perkara kepada negara.,0.722,1.000,0.839
menolak permohonan kasasi dari pemohon kasasi pt belitang panen raya ii tersebut;,menolak permohonan kasasi dari pemohon kasasi pt belitang panen raya ii tersebut; membebankan biaya perkara kepada negara.,0.706,1.000,0.828
"menghukum tergugat untuk membayar hak-hak penggugat sesuai pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, sebesar rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah) dengan perincian sebagai berikut:. jumlah rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah);","menolak permohonan kasasi dari pemohon kasasi: pt citra nusantara mandiri solok tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri padang nomor 5/pdt.sus-phi/2020/pn.pdg., tanggal 9 juli 2020 sehingga amar selengkapnya sebagai berikut: menolak tuntutan provisi penggugat; menolak eksepsi tergugat; mengabulkan gugatan penggugat untuk sebagian; menyatakan hubungan kerja antara penggugat dengan tergugat putus sejak putusan ini dibacakan; menghukum tergugat untuk membayar hak-hak penggugat sesuai pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, sebesar rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah); memerintahkan tergugat untuk mengeluarkan surat keterangan pernah bekerja kepada penggugat, yang pada intinya menyatakan penggugat telah melaksanakan pekerjaannya dengan baik selama bekerja pada tergugat; menolak gugatan penggugat untuk selain dan selebihnya; membebankan biaya perkara kepada negara;",0.299,0.683,0.416
menolak permohonan kasasi dari pemohon kasasi rudi antoro,menolak permohonan kasasi dari pemohon kasasi rudi antoro tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
menolak permohonan kasasi dari pemohon kasasi heara halawa,menolak permohonan kasasi dari pemohon kasasi heara halawa tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut;,menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut; membebankan biaya perkara kepada negara;,0.688,1.000,0.815
"6.1. upah bulan desember 2018 sebesar rp3.213.208,00 (tiga juta dua ratus tiga belas ribu dua ratus delapan rupiah);. rp3.299.332,00 = rp42.891.316,00 (empat puluh dua juta delapan ratus sembilan puluh satu ribu tiga ratus enam belas rupiah);. 6.3. upah proses selama 6 bulan = 6 x rp3.213.208,00 = rp19.279.248,00 (sembilan belas juta dua ratus tujuh puluh sembilan ribu dua ratus empat puluh delapan rupiah);. 6.4. jumlah seluruhnya adalah rp3.213.208,00 ditambah rp42.891.316,00 ditambah rp19.795.992,00 = rp65.383.772,00 (enam puluh lima juta tiga ratus delapan puluh tiga ribu tujuh ratus tujuh puluh dua rupiah);","menolak permohonan kasasi dari pemohon kasasi pt meskom agro sari tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 103/pdt.sus-phi/2019/pn pbr., tanggal 21 januari 2020",0.000,0.000,0.000
menolak permohonan kasasi dari pemohon kasasi pt nusa halmahera mineral tersebut;,"menolak permohonan kasasi dari pemohon kasasi pt. nusa halmahera mineral tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat ditetapkan sebesar rp. 500.000,00 (lima ratus ribu rupiah).",0.367,1.000,0.537
menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut;,"menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sejumlah rp500.000,00 (lima ratus ribu rupiah);",0.367,1.000,0.537
"menghukum tergugat untuk membayar hak-hak penggugat sesuai pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, sebesar rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah) dengan perincian sebagai berikut:. jumlah rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah);","menolak permohonan kasasi dari pemohon kasasi: pt citra nusantara mandiri solok tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri padang nomor 5/pdt.sus-phi/2020/pn.pdg., tanggal 9 juli 2020 sehingga amar selengkapnya sebagai berikut:menolak tuntutan provisi penggugat; menolak eksepsi tergugat; mengabulkan gugatan penggugat untuk sebagian; menyatakan hubungan kerja antara penggugat dengan tergugat putus sejak putusan ini dibacakan; menghukum tergugat untuk membayar hak-hak penggugat sesuai pasal 164 ayat (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan, sebesar rp54.337.500,00 (lima puluh empat juta tiga ratus tiga puluh tujuh ribu lima ratus rupiah); memerintahkan tergugat untuk mengeluarkan surat keterangan pernah bekerja kepada penggugat, yang pada intinya menyatakan penggugat telah melaksanakan pekerjaannya dengan baik selama bekerja pada tergugat; menolak gugatan penggugat untuk selain dan selebihnya; membebankan biaya perkara kepada negara;",0.299,0.683,0.416
menolak permohonan kasasi dari pemohon kasasi pt jumbo power internasional cabang semarang tersebut;,menolak permohonan kasasi dari pemohon kasasi pt jumbo power internasional cabang semarang tersebut; membebankan biaya perkara kepada negara.,0.722,1.000,0.839
menolak permohonan kasasi dari pemohon kasasi pt belitang panen raya ii tersebut;,menolak permohonan kasasi dari pemohon kasasi pt belitang panen raya ii tersebut; membebankan biaya perkara kepada negara.,0.706,1.000,0.828
menolak permohonan kasasi dari pemohon kasasi rudi antoro,menolak permohonan kasasi dari pemohon kasasi rudi antoro tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
menolak permohonan kasasi dari pemohon kasasi rudi antoro,menolak permohonan kasasi dari pemohon kasasi rudi antoro tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
"memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri bandung nomor 289/pdt.sus-phi/2019/pn. bdg, tanggal 11 maret 2020, sehingga amar selengkapnya sebagai berikut: dalam provisi:. 2. menyatakan perjanjian kerja waktu tertentu yang dibuat antara tergugat dengan penggugat melanggar undang undang ketenagakerjaan;. 5. menyatakan hubungan kerja antara penggugat dengan tergugat berakhir sejak putusan ini dibacakan;","menolak permohonan kasasi dari pemohon kasasi: pt ewindo, tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri bandung nomor 289/pdt.sus-phi/2019/pn. bdg, tanggal 11 maret 2020, sehingga amar selengkapnya sebagai berikut: menolak provisi penggugat untuk seluruhnya; menolak eksepsi tergugat untuk seluruhnya; mengabulkan gugatan penggugat untuk sebagian; menyatakan perjanjian kerja waktu tertentu yang dibuat antara tergugat dengan penggugat melanggar undang undang ketenagakerjaan; menyatakan menurut hukum hubungan kerja antara penggugat dengan tergugat berubah menjadi hubungan kerja perjanjian kerja waktu tidak tertentu (pkwtt); menyatakan pemutusan hubungan kerja oleh tergugat terhadap penggugat adalah batal demi hukum; menyatakan hubungan kerja antara penggugat dengan tergugat berakhir sejak putusan ini dibacakan; menghukum tergugat untuk membayar kompensasi pemutusan hubungan kerja kepada penggugat berupa uang pesangon, uang penghargaan masa kerja dan uang penggantian hak berjumlah rp69.920.578,00;menolak gugatan penggugat untuk selain dan selebihnya; membebankan biaya dalam tingkat kasasi kepada negara.",0.376,0.966,0.541
"memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri bandung nomor 289/pdt.sus-phi/2019/pn. bdg, tanggal 11 maret 2020, sehingga amar selengkapnya sebagai berikut: dalam provisi:. 2. menyatakan perjanjian kerja waktu tertentu yang dibuat antara tergugat dengan penggugat melanggar undang undang ketenagakerjaan;. 5. menyatakan hubungan kerja antara penggugat dengan tergugat berakhir sejak putusan ini dibacakan;","menolak permohonan kasasi dari pemohon kasasi: pt ewindo, tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri bandung nomor 289/pdt.sus-phi/2019/pn. bdg, tanggal 11 maret 2020, sehingga amar selengkapnya sebagai berikut: menolak provisi penggugat untuk seluruhnya; menolak eksepsi tergugat untuk seluruhnya; mengabulkan gugatan penggugat untuk sebagian; menyatakan perjanjian kerja waktu tertentu yang dibuat antara tergugat dengan penggugat melanggar undang undang ketenagakerjaan; menyatakan menurut hukum hubungan kerja antara penggugat dengan tergugat berubah menjadi hubungan kerja perjanjian kerja waktu tidak tertentu (pkwtt); menyatakan pemutusan hubungan kerja oleh tergugat terhadap penggugat adalah batal demi hukum; menyatakan hubungan kerja antara penggugat dengan tergugat berakhir sejak putusan ini dibacakan; menghukum tergugat untuk membayar kompensasi pemutusan hubungan kerja kepada penggugat berupa uang pesangon, uang penghargaan masa kerja dan uang penggantian hak berjumlah rp69.920.578,00;menolak gugatan penggugat untuk selain dan selebihnya; membebankan biaya dalam tingkat kasasi kepada negara.",0.376,0.966,0.541
menolak permohonan kasasi dari pemohon kasasi heara halawa,menolak permohonan kasasi dari pemohon kasasi heara halawa tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
menolak permohonan kasasi dari pemohon kasasi pt nubika jaya,menolak permohonan kasasi dari pemohon kasasi pt nubika jaya tersebut; membebankan biaya perkara kepada negara.,0.600,1.000,0.750
"besar perhitungannya sama dengan perhitungan 1 (satu) kali uang pesangon sesuai ketentuan pasal 156 ayat (2), 1 (satu) kali uang penghargaan masa kerja sesuai ketentuan pasal 156 ayat (3) dan uang penggantian hak sesuai ketentuan pasal 156 ayat (4) undang- undang nomor 13 tahun 2003 tentang ketenagakerjaan sejumlah rp131.724.450,00 (seratus tiga puluh satu juta tujuh ratus dua puluh empat ribu empat ratus lima puluh rupiah), dengan perincian sebagai berikut:","menolak permohonan kasasi dari pemohon kasasi pt sarana meditama internasional (r.s. omni alam sutra) dan/atau pt sarana meditama metropolitan tbk.,, tersebut; memperbaiki amar putusan pengadilan negeri serang nomor 138/pdt.sus- phi/2019/pn.srg tertanggal 19 februari 2020, sekedar memperbaiki tentang pembebanan biaya perkara, sehingga amar selengkapnya sebagai berikut: mengabulkan gugatan penggugat untuk sebagian; menyatakan hubungan kerja antara pengugat dengan tergugat putus sejak tanggai 7 desember 2018; menghukum tergugat membayar penggugat sejumlah uang yang besar perhitungannya sama dengan perhitungan 1 (satu) kali uang pesangon sesuai ketentuan pasal 156 ayat (2), 1 (satu) kali uang penghargaan masa kerja sesuai ketentuan pasal 156 ayat (3) dan uang penggantian hak sesuai ketentuan pasal 156 ayat (4) undang-undang nomor 13 tahun 2003 tentang ketenagakerjaan sejumlah rp131.724.450,00; menolak gugatan penggugat selain dan selebihnya; menghukum tergugat untuk membayar biaya perkara yang sampai hari ini ditetapkan sejumlah rp891.000,00; menghukum pemohon kasasi untuk membayar biaya perkara yang dalam tingkat kasasi ditetapkan sejumlah rp500.000,00.",0.331,0.764,0.462
menolak permohonan kasasi dari pemohon kasasi jimmy wahyudi,"menolak permohonan kasasi dari pemohon kasasi jimmy wahyudi tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sebesar rp 500.000,00",0.320,1.000,0.485
"menghukum tergugat untuk membayar kepada penggugat uang pesangon, uang penghargaan masa kerja, dan uang penggantian hak serta thr yang seluruhnya berjumlah rp46.339.478,00 (empat puluh enam juta tiga ratus tiga puluh sembilan ribu empat ratus tujuh puluh delapan rupiah);","menolak permohonan kasasi dari pemohon kasasi ketua yayasan pengembangan sumber daya manusia maluku utara indonesia (ypsdm-mui), tersebut; memperbaiki amar putusan pengadilan negeri ternate nomor 17/pdt.sus-phi/2019/pn tte., tanggal 20 februari 2020, sekedar memperbaiki tentang kompensasi pemutusan hubungan kerja, sehingga amar selengkapnya sebagai berikut: menolak gugatan provisi untuk seluruhnya; mengabulkan gugatan penggugat untuk sebagian; menyatakan putus hubungan kerja antara penggugat dengan tergugat terhitung sejak putusan ini dibacakan; menghukum tergugat untuk membayar kepada penggugat uang pesangon, uang penghargaan masa kerja, dan uang penggantian hak serta thr yang seluruhnya berjumlah rp46.339.478,00 (empat puluh enam juta tiga ratus tiga puluh sembilan ribu empat ratus tujuh puluh delapan rupiah); menolak gugatan penggugat untuk selain dan selebihnya; membebankan biaya perkara kepada negara",0.331,1.000,0.497
"menolak permohonan kasasi dari pemohon kasasi wd hotman simanjuntak, s.e., tersebut;. 2. menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sejumlah rp500.000,00 (lima ratus ribu rupiah);","menolak permohonan kasasi dari pemohon kasasi; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sejumlah rp500.000,00 (lima ratus ribu rupiah).",1.000,0.781,0.877
"menolak permohonan kasasi dari pemohon kasasi/penggugat suardi, s.e., tersebut;",menolak permohonan kasasi dari pemohon kasasi/penggugat; membebankan biaya perkara kepada negara.,0.583,0.636,0.609
