Rang.Sistem,Rang.Pakar,Preccsion,Recall,F-Measure
"muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau; termohon kasasi;","muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau sebagai termohon kasasi/penggugat.",0.920,1.000,0.958
"kristin julita prieny, bertempat tinggal di jalan sunter muara, nomor 11, rt 010, rw 005, kelurahan sunter agung, kecamatan tanjung priok, kota jakarta utara, provinsi dki jakarta, dalam hal ini memberi kuasa kepada rapen a.m.s. sinaga, s.h., m.m., c.l.a., dan kawan, para advokat pada rapen sinaga & partners law firm, beralamat di gedung hin an hwee koan, floor 3 a, suite c, jalan hasyim ashari, nomor 4-6, gambir, jakarta pusat, berdasarkan surat kuasa khusus tanggal 2 januari 2020; termohon kasasi;","kristin julita prieny, bertempat tinggal di jalan sunter muara, nomor 11, rt 010, rw 005, kelurahan sunter agung, kecamatan tanjung priok, kota jakarta utara, provinsi dki jakarta, dalam hal ini memberi kuasa kepada rapen a.m.s. sinaga, s.h., m.m., c.l.a., dan kawan, para advokat pada rapen sinaga & partners law firm, beralamat di gedung hin an hwee koan, floor 3 a, suite c, jalan hasyim ashari, nomor 4-6, gambir, jakarta pusat sebagai termohon kasasi/penggugat.",0.975,0.907,0.940
"tri iswahyudi, bertempat tinggal di jaian kakalia 1/a- 9/27, rt 009, rw 008, kelurahan cikarang baru, jayamukti, cikarang pusat, dalam hal ini memberi kuasa kepada nurul amalia, s.h., m.h., dan kawan-kawan, para advokat pada lbh dpd fsp lem spsi dki jakarta, beralamat di jalan warung doyong, nomor 183, rt 014, rw 008, kelurahan jatinegara, kecamatan cakung, jakarta timur, berdasarkan surat kuasa khusus tanggal 11 juli 2020; termohon kasasi; mahkamah agung tersebut;","tri iswahyudi, beralamat di jaian kakalia 1/a9/27, rt 009, rw 008, kelurahan cikarang baru, jayamukti, cikarang pusat, dalam hal ini memberi kuasa kepada nurul amalia, s.h., m.h., dan kawan-kawan, para advokat pada lbh dpd fsp lem spsi dki jakarta, beralamat di jalan warung doyong, nomor 183, rt 014, rw 008, kelurahan jatinegara, kecamatan cakung, jakarta timur, sebagai termohon kasasi.",0.953,0.803,0.871
"ledy jhon uneputty, bertempat tinggal di jalan sukatani, nomor 42, rt 002, rw 041, bekasi timur, jawa barat, dalam hal ini memberi kuasa kepada kristian bagus yuwono, dan kawan-kawan, para pengurus federasi serikat buruh militan (f. sebumi), beralamat di jalan gebang mas vii, blok 7, nomor 15, rt 008, rw 013, kelurahan cakung timur, kecamatan cakung, jakarta timur, berdasarkan surat kuasa khusus tanggal 4 agustus 2020; termohon kasasi; mahkamah agung tersebut;","ledy jhon uneputty, bertempat tinggal di jalan sukatani, nomor 42, rt 002, rw 041, bekasi timur, jawa barat, dalam hal ini memberi kuasa kepada kristian bagus yuwono, dan kawan-kawan, para pengurus federasi serikat buruh militan (f. sebumi), beralamat di jalan gebang mas vii, blok 7, nomor 15, rt 008, rw 013, kelurahan cakung timur, kecamatan cakung, jakarta timur sebagai termohon kasasi/penggugat.",0.968,0.847,0.904
"ledy jhon uneputty, bertempat tinggal di jalan sukatani, nomor 42, rt 002, rw 041, bekasi timur, jawa barat, dalam hal ini memberi kuasa kepada kristian bagus yuwono, dan kawan-kawan, para pengurus federasi serikat buruh militan (f. sebumi), beralamat di jalan gebang mas vii, blok 7, nomor 15, rt 008, rw 013, kelurahan cakung timur, kecamatan cakung, jakarta timur, berdasarkan surat kuasa khusus tanggal 4 agustus 2020; termohon kasasi; mahkamah agung tersebut;","ledy jhon uneputty, bertempat tinggal di jalan sukatani, nomor 42, rt 002, rw 041, bekasi timur, jawa barat, dalam hal ini memberi kuasa kepada kristian bagus yuwono, dan kawan-kawan, para pengurus federasi serikat buruh militan (f. sebumi), beralamat di jalan gebang mas vii, blok 7, nomor 15, rt 008, rw 013, kelurahan cakung timur, kecamatan cakung, jakarta timur sebagai termohon kasasi/penggugat.",0.968,0.847,0.904
"dra. bernadette susi emawati, bertempat tinggal di perum citra raya graha segovia, blok s30/03, rt 004, rw 006, kel/desa ciakar, kecamatan panongan, kabupaten tangerang, provinsi banten, dalam hal ini memberi kuasa kepada parulian hutahaean, s.h., dan kawan, para advokat, pada law office parulian hutahaean, s.h. & rekan, beralamat di dewi sartika raya pejuang jaya, blok g, nomor 288, rt 007, rw 015, kelurahan pejuang, kecamatan medan satria, kota bekasi, berdasarkan surat kuasa khusus tanggal 10 agustus 2020; termohon kasasi; mahkamah agung tersebut;","dra. bernadette susi emawati, bertempat tinggal di perum citra raya graha segovia, blok s30/03, rt 004, rw 006, kel/desa ciakar, kecamatan panongan, kabupaten tangerang, provinsi banten, dalam hal ini memberi kuasa kepada parulian hutahaean, s.h., dan kawan, para advokat, pada law office parulian hutahaean, s.h. & rekan, beralamat di dewi sartika raya pejuang jaya, blok g, nomor 288, rt 007, rw 015, kelurahan pejuang, kecamatan medan satria, kota bekas sebagai termohon kasasi/penggugat.",0.961,0.859,0.907
"tri rahayuningsih, bertempat tinggal di jalan raya kresek, nomor 24, rt 006, rw 008, kelurahan duri kosambi, kecamatan cengkareng, jakarta barat, dalam hal ini memberi kuasa kepada ramot situmeang, s.h., m.h., dan kawan, para advokat, pada kantor hukum ramot situmeang, s.h., m.h. & partners (rsp law office), beralamat di jalan lingkar luar barat, nomor 23 e, lantai ii, duri kosambi, cengkareng, jakarta barat, berdasarkan surat kuasa khusus nomor tanggal 11 februari 2020; termohon kasasi;","tri rahayuningsih bertempat tinggal di jalan raya kresek, nomor 24, rt 006, rw 008, kelurahan duri kosambi, kecamatan cengkareng, jakarta barat, dalam hal ini memberi kuasa kepada ramot situmeang, s.h., m.h., dan kawan, para advokat, pada kantor hukum ramot situmeang, s.h., m.h. & partners (rsp law office), beralamat di jalan lingkar luar barat, nomor 23 e, lantai ii, duri kosambi, cengkareng, jakarta barat, sebagai termohon kasasi.",0.986,0.883,0.932
"tri rahayuningsih, bertempat tinggal di jalan raya kresek, nomor 24, rt 006, rw 008, kelurahan duri kosambi, kecamatan cengkareng, jakarta barat, dalam hal ini memberi kuasa kepada ramot situmeang, s.h., m.h., dan kawan, para advokat, pada kantor hukum ramot situmeang, s.h., m.h. & partners (rsp law office), beralamat di jalan lingkar luar barat, nomor 23 e, lantai ii, duri kosambi, cengkareng, jakarta barat, berdasarkan surat kuasa khusus nomor tanggal 11 februari 2020; termohon kasasi;","tri rahayuningsih bertempat tinggal di jalan raya kresek, nomor 24, rt 006, rw 008, kelurahan duri kosambi, kecamatan cengkareng, jakarta barat, dalam hal ini memberi kuasa kepada ramot situmeang, s.h., m.h., dan kawan, para advokat, pada kantor hukum ramot situmeang, s.h., m.h. & partners (rsp law office), beralamat di jalan lingkar luar barat, nomor 23 e, lantai ii, duri kosambi, cengkareng, jakarta barat, sebagai termohon kasasi.",0.986,0.883,0.932
"isania gea, bertempat tinggal di onowaembo, desa onowaembo, kecamatan gunung sitoli idanoi dan bertempat tinggal di jalan salman, nomor 71, rt. 02, rw. 03, kelurahan kebon jeruk, jakarta barat; termohon kasasi/penggugat; mahkamah agung tersebut;","isania gea bertempat tinggal di onowaembo, desa onowaembo, kecamatan gunung sitoli idanoi dan bertempat tinggal di jalan salman, nomor 71, rt. 02, rw. 03, kelurahan kebon jeruk, jakarta barat disebut sebagai termohon kasasi.",0.939,0.886,0.912
"pt cipta selera murni, berkedudukan di jalan cikini raya, nomor 60 a, jakarta pusat,10330, diwakili oleh arriola arthur raphael, selaku direktur pt cipta selera murni, dalam hal ini memberikan kuasa kepada frans palti h. situngkir, s.h.,m.h,cla, advokat, berkantor di ciomas hills, cluster pangrango a3, nomor 10, jalan raya ciomas bogor, 16610, berdasarkan surat kuasa khusus tanggal 18 april 2019; termohon kasasi;","pt cipta selera murni berkedudukan di jalan cikini raya, nomor 60 a, jakarta pusat,10330, diwakili oleh arriola arthur raphael, selaku direktur pt cipta selera murni, dalam hal ini memberikan kuasa kepada frans palti h. situngkir, s.h.,m.h,cla, advokat, berkantor di ciomas hills, cluster pangrango a3, nomor 10, jalan raya ciomas bogor, disebut sebagai termohon kasasi.",0.966,0.864,0.912
"pt. tunas harapan enginering & technical supply, yang diwakili oleh direktur utama ferry yuniarto arifin, berkedudukan di jalan dumar industri f2-f3, margomulyo, surabaya, dalam hal ini memberi kuasa kepada justin malau, s.h., m.h., m.kn., dan kawan-kawan, advokat pada law office justin malau & partners, beralamat di ruko andhika plaza blok b-5, jalan simpang dukuh nomor 38-40, surabaya, berdasarkan surat kuasa khusus tanggal 30 oktober 2019; termohon kasasi;","pt. tunas harapan enginering & technical berkedudukan di jalan dumar industri f2-f3, margomulyo, surabaya, dalam hal ini memberi kuasa kepada justin malau, s.h., m.h., m.kn., dan kawan-kawan, advokat pada law office justin malau & partners, beralamat di ruko andhika plaza blok b-5, jalan simpang dukuh nomor 38-40, surabaya, disebut sebagai termohon kasasi.",0.965,0.764,0.853
"ratno, bertempat tinggal di lingkungan 15, kelurahan rengas pulau, kecamatan medan marelan, kota medan, sumatera utara, dalam hal ini memberi kuasa kepada hariadi, dan kawan-kawan, para pengurus dpc serikat buruh indonesia 1992 kota medan (dpc sbsi 1992 kota medan), berkantor di jalan pancing pasar iv lk 6, gang bersama, kelurahan mabar hilir, kacamatan medan deli, kota medan, sumatera utara, berdasarkan surat kuasa khusus tanggal 12 maret 2020; termohon kasasi;","ratno bertempat tinggal di lingkungan 15, kelurahan rengas pulau, kecamatan medan marelan, kota medan, sumatera utara, dalam hal ini memberi kuasa kepada hariadi, dan kawan-kawan, para pengurus dpc serikat buruh indonesia 1992 kota medan (dpc sbsi 1992 kota medan), berkantor di jalan pancing pasar iv lk 6, gang bersama, kelurahan mabar hilir, kacamatan medan deli, kota medan, sumatera utara, disebut sebagai termohon kasasi.",0.969,0.886,0.925
"ratno, bertempat tinggal di lingkungan 15, kelurahan rengas pulau, kecamatan medan marelan, kota medan, sumatera utara, dalam hal ini memberi kuasa kepada hariadi, dan kawan-kawan, para pengurus dpc serikat buruh indonesia 1992 kota medan (dpc sbsi 1992 kota medan), berkantor di jalan pancing pasar iv lk 6, gang bersama, kelurahan mabar hilir, kacamatan medan deli, kota medan, sumatera utara, berdasarkan surat kuasa khusus tanggal 12 maret 2020; termohon kasasi;","ratno bertempat tinggal di lingkungan 15, kelurahan rengas pulau, kecamatan medan marelan, kota medan, sumatera utara, dalam hal ini memberi kuasa kepada hariadi, dan kawan-kawan, para pengurus dpc serikat buruh indonesia 1992 kota medan (dpc sbsi 1992 kota medan), berkantor di jalan pancing pasar iv lk 6, gang bersama, kelurahan mabar hilir, kacamatan medan deli, kota medan, sumatera utara, disebut sebagai termohon kasasi.",0.969,0.886,0.925
"muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang, berdasarkan surat kuasa khusus tanggal 5 juni 2020; termohon kasasi; mahkamah agung tersebut;","muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang sebagai termohon kasasi/penggugat.",0.965,0.833,0.894
"muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau; termohon kasasi;","muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau sebagai termohon kasasi/penggugat.",0.920,1.000,0.958
"ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa barat, berdasarkan surat kuasa khusus tanggal 23 desember 2019; termohon kasasi; mahkamah agung tersebut;","ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa  barat sebagai termohon kasasi/penggugat.",0.966,0.836,0.896
"kristin anggar kusuma, bertempat tinggal di cluster la valleta lv 7, nomor 16, kota modern, kota tangerang, dalam hal ini memberi kuasa kepada arbanigo colia, s.h., dan kawan, para advokat pada kantor hukum arbanigo s. colia & partners, beralamat di jalan raya harapan kita, nomor 1/blok e2, nomor 1, kelapa dua, kabupaten tangerang, berdasarkan surat kuasa khusus tanggal 29 juli 2020; termohon kasasi;","kristin anggar kusuma, bertempat tinggal di cluster la valleta lv 7, nomor 16, kota modern, kota tangerang, dalam hal ini memberi kuasa kepada arbanigo colia, s.h., dan kawan, para advokat pada kantor hukum arbanigo s. colia & partners, beralamat di jalan raya harapan kita, nomor 1/blok e2, nomor 1, kelapa dua, kabupaten tangerang sebagai termohon kasasi/penggugat.",0.966,0.875,0.918
"rissa irvanti, bertempat tinggal di sambiroto v, rt. 005, rw. 002, kelurahan sambiroto, kecamatan tembalang, kota semarang, dalam hal ini memberi kuasa kepada rezky tamelah, s.h., m.h. dan kawan-kawan, para advokat, beralamat di jalan singosari iv, nomor 14, semarang, jawa tengah, berdasarkan surat kuasa khusus tanggal 11 oktober 2019; termohon kasasi/penggugat; mahkamah agung tersebut;","rissa irvanti, bertempat tinggal di sambiroto v, rt. 005, rw. 002, kelurahan sambiroto, kecamatan tembalang, kota semarang, dalam hal ini memberi kuasa kepada rezky tamelah, s.h., m.h. dan kawan-kawan, para advokat, beralamat di jalan singosari iv, nomor 14, semarang, jawa tengah sebagai termohon kasasi/penggugat.",0.979,0.810,0.887
"wawan, warga negara indonesia, bertempat tinggal di lorong ariodilah, nomor 2301, rt. 031, rw. 010, kelurahan 20 ilir d iv, kecamatan ilir timur i, kota palembang, dalam hal ini memberi kuasa kepada hermawan, s.h., dan kawan, para advokat, beralamat di jalan sersan sani, lorong kandis ii, nomor 901, rt. 12, rw. 04, kelurahan talang aman, kecamatan kemuning, kota palembang, berdasarkan surat kuasa khusus tanggal 27 februari 2020; termohon kasasi/penggugat; mahkamah agung tersebut;","wawan, bertempat tinggal di lorong ariodilah, nomor 2301, rt. 031, rw. 010, kelurahan 20 ilir d iv, kecamatan ilir timur i, kota palembang, dalam hal ini memberi kuasa kepada hermawan, s.h., dan kawan, para advokat, beralamat di jalan sersan sani, lorong kandis ii, nomor 901, rt. 12, rw. 04, kelurahan talang aman, kecamatan kemuning, kota palembang sebagai temohon kasasi/penggugat.",0.967,0.797,0.874
"zulkifli, bertempat tinggal di jalan batu laweh, rt 002 rw 003, kelurahan tanjung paku, kecamatan tanjung harapan, kota solok, provinsi sumatera barat, dalam hal ini memberi kuasa kepada sahnan sahuri siregar, s.h., m.h., dan kawan- kawan, para advokat pada rumah bantuan hukum, beralamat di jalan bandar purus, nomor 52, padang, sumatera barat, berdasarkan surat kuasa khusus tanggal 27 desember 2019; termohon kasasi;","zulkifli, bertempat tinggal di jalan batu laweh, rt 002 rw 003, kelurahan tanjung paku, kecamatan tanjung harapan, kota solok, provinsi sumatera barat, dalam hal ini memberi kuasa kepada sahnan sahuri siregar, s.h., m.h., dan kawankawan, para advokat pada rumah bantuan hukum, beralamat di jalan bandar purus, nomor 52, padang, sumatera barat sebagai termohon kasasi.",0.964,0.844,0.900
"pt global terminal marunda, berkedudukan di kawasan berikat nusantara (kbn) marunda, jalan ujung pandang, blok c.01-03 dan 04, cilincing, jakarta utara, diwakili oleh husaini sanny selaku direktur, dalam hal ini memberikan kuasa kepada ujang efendi, s.h., advokat, beralamat di jalan terusan i gusti ngurah rai, ruko g.7, nomor 7, pondok kopi, jakarta timur berdasarkan surat kuasa khusus tanggal 5 maret 2020; termohon kasasi/tergugat; mahkamah agung tersebut;","pt global terminal marunda, berkedudukan di kawasan berikat nusantara (kbn) marunda, jalan ujung pandang, blok c.01-03 dan 04, cilincing, jakarta utara, diwakili oleh husaini sanny selaku direktur, dalam hal ini memberikan kuasa kepada ujang efendi, s.h., advokat, beralamat di jalan terusan i gusti ngurah rai, ruko g.7, nomor 7, pondok kopi, jakarta timur sebagai termohon kasasi/tergugat.",0.984,0.845,0.909
"suryanto, hrd pt security phisik dinamika, berkedudukan di jalan bina marga, nomor 30, kelurahan sanja, kecamatan citeureup, bogor; termohon kasasi; mahkamah agung tersebut;","suryanto, hrd pt security phisik dinamika, berkedudukan di jalan bina marga, nomor 30, kelurahan sanja, kecamatan citeureup, bogor sebagai termohon kasasi.",0.952,0.870,0.909
"muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang, berdasarkan surat kuasa khusus tanggal 5 juni 2020; termohon kasasi; mahkamah agung tersebut;","muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang sebagai termohon kasasi/penggugat.",0.965,0.833,0.894
"muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau; termohon kasasi;","muklis s. pd.i., bertempat tinggal di jalan utama, rt 04/rw 001, desa pangkalan batang, kecamatan bengkalis, kabupaten bengkalis, riau sebagai termohon kasasi/penggugat.",0.920,1.000,0.958
"ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa barat, berdasarkan surat kuasa khusus tanggal 23 desember 2019; termohon kasasi; mahkamah agung tersebut;","ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa  barat sebagai termohon kasasi/penggugat.",0.966,0.836,0.896
